N0,,20;4
N1,,20;28
N2,,30;39
N3,,27;20;29;39
N4,,3;23
N5,,44;6
N6,,0;2
N7,,0;21
N8,,11;44
N9,,0;11;22
N10,,11;5
N11,,9;5
N12,,9;45
N13,,9;3
N14,,19;46
N15,,17;18;19
N16,,16;43
N17,,16;40
N18,,48;16;18
N19,,48;17;18
N20,,48;17;37
N21,,24;38
N22,,1;10;25
N23,,33;13;7
N24,,33;10
N25,,33;34
N26,,34;14
N27,,24;34;15
N28,,17;15
N29,,32;17;37
N30,,8;35
N31,,8;31
N32,,8;41;32
N33,,9;26;47
N34,,26;42
N35,,8;26
N36,,26;12;39
N37,,49;12;36
N3,N0,
N3,N1,
N8,N5,
N9,N6,
N9,N7,
N10,N8,
N10,N9,
N11,N10,
N13,N4,
N15,N14,
N18,N16,
N18,N17,
N19,N15,
N19,N18,
N20,N19,
N24,N22,
N25,N23,
N25,N24,
N27,N25,
N27,N26,
N27,N21,
N28,N27,
N29,N28,
N29,N20,
N32,N29,
N33,N11,
N33,N12,
N33,N13,
N35,N30,
N35,N31,
N35,N32,
N36,N33,
N36,N2,
N36,N34,
N36,N3,
N36,N35,
N37,N36,
