0,,55
1,,67
2,,48
3,,96
4,,84
5,,38
6,,32
7,,33
8,,81
9,,33
10,,71
11,,24
12,,27
13,,56
14,,65
15,,53
16,,61
17,,8
18,,44
19,,64
20,,60
21,,26
22,,18
23,,63
24,,30
25,,68
26,,18
27,,35
28,,94
29,,78
30,,41
31,,97
32,,91
33,,20
34,,50
35,,68
36,,44
37,,59
38,,2
39,,6
40,,36
41,,74
42,,32
43,,77
44,,81
45,,59
46,,19
47,,13
48,,2
49,,91
0,18
0,37
0,49
1,38
2,19
2,43
3,18
4,24
4,27
5,17
5,33
5,42
6,33
6,34
6,35
7,25
8,10
8,12
8,15
9,28
9,32
9,36
10,16
10,38
10,43
11,17
11,47
12,36
13,42
14,40
14,42
14,47
15,39
16,39
17,30
18,45
19,32
19,43
19,44
19,48
20,23
20,28
20,33
20,44
21,23
22,24
22,32
22,39
23,43
24,26
25,33
26,28
29,30
29,41
30,46
31,40
32,34
34,36
36,44
41,46
44,45
47,49
