N0,,56;93
N1,,56;5
N2,,16;1;5;70
N3,,1;17
N4,,18;27;58
N5,,18;3;58
N6,,81;4
N7,,8;81
N8,,44;21;79
N9,,88;44
N10,,88;15
N11,,25;47
N12,,49;94;47
N13,,9;51;60;49
N14,,9;49;29;47
N15,,30;63
N16,,65;30;78
N17,,32;19;45;46
N18,,32;10;22;71
N19,,41;34;68;98
N20,,72;26
N21,,32;89;34;72
N22,,50;83;53
N23,,0;72;50;67
N24,,0;32;34;67;72
N25,,0;41;32;34
N26,,48;64
N27,,48;35;77
N28,,97;43
N29,,91;69
N30,,35;84;92
N31,,97;84;85;42;59;28;29
N32,,97;99;3;35;42;84;59;28;29
N33,,1;97;3;99;35;42;76;59;28;29
N34,,1;97;99;3;35;69;42;76;28;29
N35,,96;1;97;3;99;35;23;28;29
N36,,38;55
N37,,2;38
N38,,57;20
N39,,57;36
N40,,73;36;54
N41,,73;82;61;95
N42,,73;82;61;90
N43,,66;82;73;90;41
N44,,73;41;66;36
N45,,41;2;66
N46,,41;2;14
N47,,40;52;37
N48,,40;37;14;7
N49,,24;35;87
N50,,24;35;37
N51,,11;6
N52,,80;62;6;31
N53,,80;33;6;62
N54,,74;12
N55,,33;74;39
N56,,75;86;39
N57,,75;37;39
N58,,13;37
N59,,33;37;39
N60,,35;37;14;7
N61,,41;35;14;7
N62,,1;99;3;35;41;23;28;29
N63,,1;3;99;41;15;23;28;29;30
N64,,1;3;99;9;15;23;28;29
N65,,1;3;99;23;8
N1,N0,
N2,N1,
N5,N4,
N7,N6,
N9,N8,
N10,N9,
N14,N11,
N14,N12,
N14,N13,
N23,N22,
N24,N20,
N24,N21,
N24,N23,
N25,N18,
N25,N19,
N25,N24,
N25,N17,
N27,N26,
N32,N30,
N32,N31,
N33,N32,
N34,N29,
N34,N33,
N35,N34,
N35,N28,
N37,N36,
N39,N38,
N42,N41,
N43,N42,
N44,N39,
N44,N40,
N44,N43,
N45,N44,
N46,N37,
N46,N45,
N48,N47,
N50,N49,
N53,N51,
N53,N52,
N55,N54,
N57,N56,
N59,N53,
N59,N55,
N59,N57,
N60,N50,
N60,N58,
N60,N59,
N60,N48,
N61,N60,
N61,N46,
N62,N35,
N62,N27,
N62,N61,
N63,N25,
N63,N62,
N63,N15,
N63,N16,
N64,N10,
N64,N14,
N64,N63,
N65,N2,
N65,N3,
N65,N5,
N65,N7,
N65,N64,
