0,,117
1,,10
2,,60
3,,171
4,,181
5,,197
6,,143
7,,151
8,,186
9,,19
10,,137
11,,118
12,,163
13,,15
14,,131
15,,37
16,,59
17,,169
18,,40
19,,8
20,,18
21,,135
22,,2
23,,93
24,,52
25,,93
26,,192
27,,152
28,,105
29,,186
30,,28
31,,39
32,,133
33,,190
34,,44
35,,165
36,,64
37,,189
38,,118
39,,97
40,,194
41,,47
42,,26
43,,7
44,,26
45,,159
46,,152
47,,181
48,,158
49,,144
50,,105
51,,125
52,,162
53,,118
54,,180
55,,79
56,,136
57,,186
58,,142
59,,189
60,,147
61,,64
62,,30
63,,127
64,,127
65,,80
66,,113
67,,120
68,,132
69,,66
70,,98
71,,157
72,,34
73,,85
74,,188
75,,191
76,,162
77,,116
78,,37
79,,149
80,,20
81,,43
82,,107
83,,80
84,,200
85,,163
86,,143
87,,128
88,,93
89,,162
90,,56
91,,191
92,,105
93,,105
94,,194
95,,70
96,,17
97,,95
98,,133
99,,41
0,24
0,26
0,68
1,28
2,47
3,50
4,92
4,97
5,62
5,68
6,67
6,85
7,63
8,41
8,92
9,21
9,75
10,66
11,22
11,87
12,63
12,92
12,95
13,64
14,83
14,89
15,61
16,97
17,46
17,53
17,90
18,60
18,79
19,34
19,76
20,42
20,84
21,37
21,81
23,56
23,66
23,91
24,54
25,50
27,58
27,82
27,93
28,76
28,89
29,47
30,47
30,86
30,92
31,45
31,98
32,48
32,53
33,58
34,74
35,65
36,93
38,80
38,81
39,73
39,78
40,78
41,99
43,53
44,55
45,52
45,85
46,69
47,76
48,54
49,76
50,86
51,64
51,85
52,72
53,84
55,58
55,95
56,57
57,84
58,88
59,85
61,72
65,76
66,79
68,77
69,73
70,96
71,83
72,89
75,82
84,93
87,94
94,99
96,99
