N0,,17;20;28
N1,,35;14
N2,,27;35
N3,,25;35;20
N4,,12;15;7
N5,,42;44
N6,,43;3
N7,,3;6;31
N8,,42;3
N9,,18;13
N10,,2;5
N11,,18;3;5;37;8
N12,,16;12;5;7
N13,,9;11;36
N14,,10;47
N15,,24;10;19
N16,,24;1;10;41
N17,,9;11;1
N18,,34;22
N19,,40;21;29
N20,,32;34;39;40;9
N21,,45;38;30
N22,,48;23
N23,,48;33;26;46
N24,,0;33;48;26;45
N25,,32;0;33
N26,,32;9;34;0
N27,,49;35
N28,,32;49;4;7;9
N3,N0,
N8,N5,
N11,N6,
N11,N7,
N11,N8,
N11,N9,
N12,N4,
N12,N10,
N12,N11,
N16,N14,
N16,N15,
N17,N13,
N17,N16,
N20,N19,
N24,N21,
N24,N22,
N24,N23,
N25,N24,
N26,N18,
N26,N20,
N26,N25,
N27,N1,
N27,N2,
N27,N3,
N28,N17,
N28,N26,
N28,N27,
N28,N12,
