N0,,16;40;7
N1,,16;26
N2,,11;20;6
N3,,25;11
N4,,25;15
N5,,16;24;27
N6,,10;18
N7,,24;2;10
N8,,16;24;2
N9,,8;49;4
N10,,3;38
N11,,3;28;22
N12,,1;3;28;17
N13,,1;2;3;4;17
N14,,1;2;49;4;25
N15,,16;1;2;49;25
N16,,47;36;37;39
N17,,16;39;43;13;31
N18,,12;23
N19,,48;12
N20,,48;30;39
N21,,16;36;37;39;13;31
N22,,16;49;36;37;13;31
N23,,16;1;49;36;13;31
N24,,34;46
N25,,41;14
N26,,33;34;41
N27,,9;35
N28,,32;9;5;7
N29,,0;32;5;7
N30,,29;45
N31,,19;21;25;44;45
N32,,25;42;44;5
N33,,0;34;5;7;25;42;31
N34,,0;49;34;5;7;25;31
N35,,0;33;49;34;7;25;31
N36,,0;1;7;13;16;49;25;31
N3,N2,
N7,N6,
N8,N5,
N8,N7,
N12,N11,
N13,N10,
N13,N12,
N14,N9,
N14,N13,
N15,N8,
N15,N14,
N19,N18,
N20,N19,
N21,N16,
N21,N17,
N21,N20,
N22,N21,
N23,N22,
N26,N25,
N28,N27,
N29,N28,
N31,N30,
N32,N31,
N33,N32,
N34,N29,
N34,N33,
N35,N24,
N35,N26,
N35,N34,
N36,N23,
N36,N15,
N36,N0,
N36,N1,
N36,N3,
N36,N35,
N36,N4,
