N0,,0;3
N1,,11;6
N2,,0;1;8;14
N3,,8;26;44
N4,,0;1;6;7;8
N5,,16;18
N6,,43;27;36
N7,,48;29;38
N8,,40;2;15
N9,,40;27;12;13
N10,,48;20;21;40;9
N11,,48;17;20;40;9
N12,,48;17;6;40;9
N13,,24;9;42
N14,,24;10;27;46
N15,,24;9;27
N16,,48;6;40;9;27
N17,,48;19;6;40;27
N18,,16;32;47
N19,,16;34;30
N20,,34;28
N21,,33;34
N22,,48;5;31
N23,,49;36;5;22
N24,,48;49;36;5;41
N25,,48;49;34;36;41
N26,,49;4;38;25
N27,,25;35;36;39
N28,,32;49;35;36;38;25
N29,,37;23
N30,,34;37;45
N31,,34;35;45
N32,,32;49;34;35;36;38
N33,,32;16;49;48;36;34;38
N34,,16;49;48;19;36;32;38
N35,,36;6;38;16;49;48;19;27
N36,,0;16;49;36;6;38;27
N37,,0;49;1;6
N4,N2,
N4,N3,
N11,N10,
N12,N11,
N15,N13,
N15,N14,
N16,N12,
N16,N15,
N17,N8,
N17,N9,
N17,N16,
N24,N22,
N24,N23,
N25,N24,
N28,N26,
N28,N27,
N30,N29,
N31,N30,
N32,N28,
N32,N31,
N33,N25,
N33,N32,
N33,N19,
N33,N20,
N33,N21,
N34,N33,
N34,N18,
N35,N7,
N35,N17,
N35,N34,
N36,N6,
N36,N35,
N36,N5,
N37,N0,
N37,N1,
N37,N4,
N37,N36,
