N0,,12;14
N1,,18;42
N2,,26;35;4;6
N3,,34;8;9;26;43
N4,,34;7;8;9;26;29;15
N5,,1;7;8;9;26;29;15
N6,,2;5;21;10;13;30;47
N7,,2;5;21;24;10;13;30
N8,,24;45;22
N9,,17;38;39
N10,,33;17;5;38;30
N11,,17;2;33;5;9;30
N12,,2;5;7;9;45;17;23;30
N13,,2;3;5;7;9;45;18;19;23;24;30
N14,,2;3;5;7;9;10;13;18;19;23;24;27;30
N15,,0;32;16;37;28;15
N16,,49;12;37;41
N17,,37;40;10;12;46;15;18;19;23
N18,,48;23;44;7;28;30
N19,,48;25;20;31
N20,,48;18;20;5;25
N21,,0;5;7;40;9;12;48;18;20;23;26;28;30
N22,,0;5;7;9;10;11;12;15;18;19;20;23;24;26;28;30;32;36;37;40
N23,,0;5;7;9;10;11;12;15;18;19;20;23;24;26;28;29;30;32;37;49
N24,,0;3;5;7;9;10;11;12;13;15;18;19;20;23;24;26;27;28;29;30;49
N25,,0;1;3;6;7;9;10;11;12;13;15;18;19;24;26;27;28;29;49
N26,,0;1;3;4;6;7;9;10;11;12;13;15;18;19;24;26;27;28;49
N4,N3,
N5,N4,
N7,N6,
N10,N9,
N11,N10,
N12,N11,
N13,N12,
N13,N8,
N14,N13,
N14,N7,
N20,N19,
N21,N18,
N21,N20,
N22,N17,
N22,N21,
N23,N15,
N23,N16,
N23,N22,
N24,N14,
N24,N23,
N25,N5,
N25,N24,
N26,N0,
N26,N1,
N26,N2,
N26,N25,
