N0,,16;3;6
N1,,49;2;19;13;15
N2,,2;28;46;15
N3,,9;27;7;47
N4,,32;21;22;44;46
N5,,48;49;18;32;21;22;46
N6,,24;35;19;31
N7,,17;19;35;37;30
N8,,0;35;37;39;14
N9,,0;35;19;37;14
N10,,0;35;37;15;17;19;21;31
N11,,48;33;34;42;12
N12,,48;33;34;23;42;45
N13,,8;20;22;23
N14,,36;20;6;40;25;26
N15,,0;36;6;40;47;20;25;27
N16,,1;17;4;21;22;5;25
N17,,1;17;4;21;22;25;29
N18,,0;1;41;45;47;17;21;22;25;29
N19,,0;1;41;43;45;15;47;17;21;22;25
N20,,0;1;36;6;43;45;15;47;17;20;21;22;23;25;27
N21,,0;1;36;6;43;45;46;15;47;17;20;21;22;23;27
N22,,0;1;6;15;17;21;22;23;27;34;36;37;42;43;45;46;47;48
N23,,0;1;6;10;15;17;21;22;23;27;31;34;36;37;42;43;46;47;48
N24,,0;1;6;10;15;17;19;21;22;23;27;31;34;37;42;43;46;47;48
N25,,0;1;6;10;15;16;19;21;22;23;27;31;34;37;42;43;46;47;48
N26,,1;6;10;15;16;18;19;21;22;23;27;31;34;37;42;43;46;47;48;49
N27,,1;6;9;10;15;16;18;19;21;22;23;27;31;34;37;42;43;46;47;49
N28,,49;11
N29,,1;2;6;9;10;15;16;18;19;21;22;23;27;31;34;37;38;42;43;46;49
N5,N4,
N9,N8,
N10,N6,
N10,N7,
N10,N9,
N12,N11,
N15,N14,
N17,N16,
N18,N17,
N19,N18,
N20,N15,
N20,N19,
N21,N20,
N21,N13,
N22,N21,
N22,N12,
N23,N22,
N24,N23,
N24,N10,
N25,N24,
N26,N5,
N26,N25,
N27,N3,
N27,N26,
N29,N0,
N29,N1,
N29,N2,
N29,N27,
N29,N28,
