N0,,2;15
N1,,34;37
N2,,2;34;45;6
N3,,18;21
N4,,17;18
N5,,8;17;20
N6,,10;22
N7,,42;36
N8,,33;49;19;36;10
N9,,43;36;12;14
N10,,33;49;36;7;10;14
N11,,49;33;7;10;11;14
N12,,8;9;38;23
N13,,16;25;32;35
N14,,16;32;6;25;28;29
N15,,8;1;48
N16,,0;8;48;29
N17,,7;41;13;46;31
N18,,0;5;7;41;13;46
N19,,0;29;7;8;41;13
N20,,49;26;47
N21,,24;49;26
N22,,24;49;4;39
N23,,40;30;39
N24,,40;44;39
N25,,49;4;13;39
N26,,49;13;7;8;9;29;41
N27,,6;7;8;9;16;49;25;28;29
N28,,6;7;8;9;16;49;25;27;28
N29,,6;7;8;9;10;11;16;49;23;25
N30,,6;7;8;9;10;11;14;16;49
N31,,49;3;6;7
N32,,49;2;3;6
N2,N1,
N4,N3,
N5,N4,
N10,N7,
N10,N8,
N10,N9,
N11,N10,
N14,N13,
N16,N15,
N18,N17,
N19,N18,
N19,N16,
N21,N20,
N22,N21,
N24,N23,
N25,N22,
N25,N24,
N26,N19,
N26,N25,
N27,N26,
N27,N14,
N28,N27,
N29,N12,
N29,N28,
N30,N5,
N30,N6,
N30,N11,
N30,N29,
N31,N30,
N32,N2,
N32,N31,
N32,N0,
