N0,,26;30
N1,,17;43
N2,,17;15
N3,,24;26;15
N4,,24;35
N5,,41;1
N6,,41;22
N7,,33;41
N8,,33;12
N9,,33;28
N10,,25;28
N11,,28;21
N12,,10;47
N13,,2;7
N14,,2;47
N15,,18;38
N16,,16;18
N17,,16;42
N18,,13;39
N19,,48;0
N20,,48;6
N21,,6;39
N22,,29;6
N23,,11;29
N24,,9;29
N25,,9;44
N26,,44;14
N27,,45;14
N28,,3;37
N29,,3;45
N30,,42;19
N31,,3;19
N32,,19;46
N33,,8;46
N34,,32;46
N35,,2;4
N36,,32;4
N37,,4;36
N38,,4;23
N39,,31;23
N40,,40;27
N41,,40;23
N42,,34;5
N43,,40;34
N44,,49;28
N45,,49;35
N46,,49;34
N47,,49;20
N2,N1,
N3,N0,
N3,N2,
N4,N3,
N7,N5,
N7,N6,
N9,N7,
N9,N8,
N14,N12,
N16,N15,
N17,N16,
N20,N19,
N21,N18,
N22,N20,
N22,N21,
N24,N22,
N24,N23,
N25,N24,
N26,N25,
N27,N26,
N29,N27,
N30,N17,
N31,N28,
N31,N29,
N32,N30,
N32,N31,
N34,N32,
N34,N33,
N35,N13,
N35,N14,
N36,N34,
N38,N35,
N38,N36,
N38,N37,
N41,N38,
N41,N39,
N43,N40,
N43,N41,
N44,N9,
N44,N10,
N44,N11,
N45,N4,
N46,N42,
N46,N43,
N47,N44,
N47,N45,
N47,N46,
