N0,,73;13
N1,,89;13
N2,,75;4
N3,,25;20
N4,,11;93
N5,,33;12
N6,,33;94
N7,,81;94
N8,,81;87
N9,,76;87
N10,,25;76
N11,,76;93
N12,,75;77
N13,,76;77
N14,,45;31
N15,,77;31
N16,,22;31
N17,,86;22
N18,,86;14
N19,,62;15
N20,,43;15
N21,,16;15
N22,,16;17
N23,,17;30
N24,,49;84
N25,,41;49
N26,,41;23
N27,,41;50
N28,,59;21
N29,,59;29
N30,,97;70
N31,,70;55
N32,,91;29
N33,,91;55
N34,,74;91
N35,,74;50
N36,,74;52
N37,,52;60
N38,,52;61
N39,,96;5
N40,,61;5
N41,,5;30
N42,,14;95
N43,,5;95
N44,,42;95
N45,,18;92
N46,,9;82
N47,,82;92
N48,,82;27
N49,,27;46
N50,,24;68
N51,,44;47
N52,,1;71
N53,,69;71
N54,,54;6
N55,,40;38
N56,,88;7
N57,,54;7
N58,,40;7
N59,,80;7
N60,,80;53
N61,,35;53
N62,,35;69
N63,,35;47
N64,,36;85
N65,,26;78
N66,,32;26
N67,,58;85
N68,,58;26
N69,,58;51
N70,,72;51
N71,,72;34
N72,,56;37
N73,,65;37
N74,,79;39
N75,,19;39
N76,,65;39
N77,,2;67
N78,,2;39
N79,,48;2
N80,,48;83
N81,,34;83
N82,,66;83
N83,,0;66;35
N84,,64;66
N85,,64;98
N86,,64;24
N87,,64;63
N88,,8;27
N89,,8;63
N90,,8;90
N91,,8;57
N92,,8;10
N93,,89;3
N94,,3;28
N95,,10;3
N96,,42;99
N97,,3;99
N1,N0,
N6,N5,
N7,N6,
N8,N7,
N9,N8,
N10,N3,
N11,N4,
N12,N2,
N13,N9,
N13,N10,
N13,N11,
N15,N12,
N15,N13,
N16,N14,
N16,N15,
N17,N16,
N18,N17,
N21,N19,
N21,N20,
N22,N21,
N23,N22,
N25,N24,
N27,N25,
N27,N26,
N29,N28,
N31,N30,
N32,N29,
N33,N31,
N34,N32,
N34,N33,
N35,N27,
N36,N34,
N36,N35,
N38,N36,
N38,N37,
N40,N38,
N41,N23,
N42,N18,
N43,N39,
N43,N40,
N43,N41,
N44,N42,
N44,N43,
N47,N45,
N48,N46,
N48,N47,
N53,N52,
N57,N54,
N58,N55,
N59,N56,
N59,N57,
N59,N58,
N60,N59,
N61,N60,
N62,N53,
N63,N51,
N67,N64,
N68,N66,
N68,N65,
N69,N67,
N69,N68,
N70,N69,
N71,N70,
N73,N72,
N76,N73,
N78,N74,
N78,N75,
N78,N76,
N79,N77,
N79,N78,
N80,N79,
N81,N71,
N82,N80,
N82,N81,
N83,N61,
N83,N62,
N83,N63,
N84,N82,
N84,N83,
N86,N50,
N87,N84,
N87,N85,
N87,N86,
N88,N48,
N88,N49,
N89,N87,
N92,N88,
N92,N89,
N92,N90,
N92,N91,
N93,N1,
N95,N92,
N96,N44,
N97,N93,
N97,N94,
N97,N95,
N97,N96,
