0,,10
1,,46
2,,83
3,,73
4,,50
5,,45
6,,4
7,,77
8,,89
9,,39
10,,44
11,,39
12,,33
13,,83
14,,35
15,,5
16,,70
17,,55
18,,67
19,,19
20,,22
21,,69
22,,63
23,,29
24,,23
25,,80
26,,72
27,,11
28,,67
29,,84
30,,79
31,,48
32,,44
33,,75
34,,7
35,,1
36,,63
37,,65
38,,78
39,,50
40,,55
41,,74
42,,90
43,,90
44,,40
45,,91
46,,64
47,,51
48,,44
49,,23
0,46
0,48
1,8
1,48
2,15
2,45
2,49
3,7
4,24
5,46
6,32
6,45
7,27
7,31
7,36
8,20
8,23
8,38
9,13
9,23
9,38
10,19
10,22
10,25
11,25
11,33
12,14
12,36
12,43
13,31
13,39
14,16
16,35
17,18
17,20
18,21
19,33
19,36
19,49
23,25
23,38
24,26
24,39
25,27
25,35
26,47
27,28
28,32
29,32
29,48
30,39
30,40
31,41
31,46
32,35
34,37
34,45
36,42
39,40
39,44
40,44
47,49
