N0,,24;17;6
N1,,32;11;21
N2,,1;9;27;12;28;30
N3,,1;5;40;9;12;15;27;30
N4,,0;16;2;44
N5,,34;36;5;8;44;29;15
N6,,46;7
N7,,49;19;20;37;46
N8,,40;3;34;48
N9,,0;1;42;9;26;13;31
N10,,0;1;9;13;46;48;22;26;31
N11,,0;1;34;35;40;9;13;46;47;48;21;22;31
N12,,35;39;43;30;47
N13,,34;19;18;38;39;8
N14,,25;45;23
N15,,0;41;45;14
N16,,0;32;39;41;45;30
N17,,0;32;5;39;45;17;23;30
N18,,0;32;34;35;5;38;39;8;47;17;19;23;30
N19,,0;1;5;6;8;9;13;17;19;21;22;23;30;31;32;33;34;35;38;40;46;47
N20,,0;1;5;6;8;9;13;16;17;19;21;22;23;30;31;32;33;34;35;37;38;40;44;46;49
N21,,0;1;5;6;8;9;12;13;16;17;19;21;22;23;30;31;32;33;34;35;37;38;40;44;49
N22,,0;1;5;6;8;9;10;12;13;15;16;17;19;21;22;23;29;30;31;32;34;35;37;38;40;44;49
N23,,0;1;4;6;8;9;10;12;13;15;16;17;19;21;22;23;29;30;32;34;35;37;49
N3,N2,
N10,N9,
N11,N8,
N11,N10,
N16,N15,
N17,N14,
N17,N16,
N18,N12,
N18,N13,
N18,N17,
N19,N11,
N19,N18,
N20,N19,
N20,N6,
N20,N7,
N21,N20,
N22,N3,
N22,N4,
N22,N5,
N22,N21,
N23,N0,
N23,N1,
N23,N22,
