N0,,1;43;9;7
N1,,0;2;8;12;45;30
N2,,0;1;2;8;12;45;14
N3,,0;1;2;7;8;9;45;14
N4,,35;14;10;47;46;15
N5,,35;5;40;9;10;14;15;46;17;49;19;23;28
N6,,32;21;14;7
N7,,48;18;19
N8,,16;33;17;19;48;37
N9,,33;35;5;37;16;17;19;21
N10,,33;3;44
N11,,49;34;3;36;40
N12,,33;34;35;3;40;10;49;25
N13,,33;34;35;40;10;49;23;25;28
N14,,4;8;24;11;27
N15,,7;8;42;11;45;24;27;29
N16,,6;7;8;42;11;45;24;29
N17,,26;39;31
N18,,26;11;28;13
N19,,33;38;40;41;11;21;22;26;28;31
N20,,6;7;8;11;20;21;22;28;29;31;33;38;40;41;42;45
N21,,6;7;8;9;20;21;22;23;28;29;31;33;37;38;40;41;42;45
N22,,2;6;7;8;9;20;21;22;23;28;29;31;33;37;38;40;45
N23,,2;5;6;7;8;9;10;17;19;20;21;22;23;25;28;29;31;33;35;37;40;45;49
N24,,2;5;7;8;9;10;14;17;19;20;21;22;23;25;28;29;31;35;37;40;45;49
N25,,2;5;7;8;9;10;14;15;17;19;20;22;23;25;28;29;31;35;37;40;45;49
N26,,0;2;5;7;8;9;10;14;15;17;19;22;23;25;28;29;31;40;45;49
N2,N1,
N3,N0,
N3,N2,
N5,N4,
N8,N7,
N9,N8,
N12,N11,
N12,N10,
N13,N12,
N15,N14,
N16,N15,
N19,N17,
N19,N18,
N20,N16,
N20,N19,
N21,N20,
N22,N21,
N23,N13,
N23,N22,
N23,N9,
N24,N6,
N24,N23,
N25,N5,
N25,N24,
N26,N3,
N26,N25,
