N0,,0;37
N1,,49;11;14;47
N2,,40;31
N3,,40;14
N4,,25;7
N5,,33;25
N6,,42;13
N7,,42;5;14
N8,,17;29;46;30
N9,,41;29;46;17
N10,,17;5;41;11;46
N11,,33;11;5;14
N12,,48;19
N13,,21;23
N14,,33;34;35;6
N15,,18;44;45
N16,,18;19;36;20;44
N17,,34;18;19;20;36;9;12
N18,,32;33;34;9;12;18;19;20
N19,,27;4
N20,,32;24;22;39
N21,,24;26;28
N22,,32;4;39;24;28
N23,,8;15;39
N24,,2;19;23;10;43
N25,,16;2;19;38;23;8;10
N26,,16;2;19;23;38;39;8
N27,,2;19;23;38;39;8;12
N28,,1;2;19;23;38;39;12
N29,,32;2;19;39;23;12;28
N30,,32;33;2;9;12;18;19;20;23;28
N31,,33;18;20;11;14
N32,,49;18;11;14
N33,,0;49;18;3
N3,N2,
N5,N4,
N7,N6,
N9,N8,
N10,N9,
N11,N7,
N11,N10,
N16,N15,
N17,N16,
N18,N14,
N18,N17,
N22,N19,
N22,N20,
N22,N21,
N25,N24,
N26,N25,
N27,N23,
N27,N26,
N28,N27,
N29,N22,
N29,N28,
N30,N18,
N30,N12,
N30,N13,
N30,N29,
N31,N5,
N31,N11,
N31,N30,
N32,N3,
N32,N31,
N32,N1,
N33,N0,
N33,N32,
