0,,68
1,,21
2,,14
3,,78
4,,37
5,,3
6,,84
7,,31
8,,10
9,,68
10,,50
11,,93
12,,68
13,,14
14,,75
15,,50
16,,51
17,,75
18,,32
19,,48
20,,59
21,,90
22,,25
23,,15
24,,56
25,,39
26,,57
27,,65
28,,1
29,,51
30,,33
31,,22
32,,33
33,,41
34,,68
35,,100
36,,2
37,,66
38,,40
39,,22
40,,88
41,,11
42,,29
43,,3
44,,91
45,,27
46,,26
47,,58
48,,76
49,,2
0,2
0,5
0,14
0,16
0,26
0,42
1,9
1,19
1,22
1,28
1,32
1,42
2,16
2,44
3,34
3,40
3,48
4,12
4,37
5,27
5,35
5,36
5,45
6,10
6,22
6,24
6,32
6,47
7,46
8,18
8,34
8,36
8,49
9,23
9,28
9,32
9,33
9,42
10,12
10,17
10,22
10,30
10,32
10,34
10,35
10,44
11,21
11,32
12,13
12,16
12,17
12,28
12,33
13,26
13,40
13,42
13,49
14,41
14,45
15,27
15,36
15,37
16,23
16,37
16,46
17,24
17,29
17,45
17,47
18,19
18,34
18,38
18,39
19,20
19,23
19,31
20,37
20,46
20,49
21,22
21,37
21,46
21,48
22,26
22,38
23,25
23,45
25,45
26,42
26,46
26,48
27,28
27,40
28,30
29,35
29,36
29,38
29,40
30,37
30,41
30,43
31,35
31,40
31,42
31,48
32,37
32,41
33,35
33,47
33,49
34,36
34,37
34,38
35,40
35,43
35,48
35,49
36,44
39,41
39,43
43,47
44,46
47,48
