0,,66
1,,14
2,,24
3,,65
4,,64
5,,34
6,,9
7,,5
8,,25
9,,43
10,,4
11,,89
12,,24
13,,10
14,,84
15,,75
16,,39
17,,44
18,,9
19,,72
20,,59
21,,11
22,,54
23,,88
24,,21
25,,8
26,,81
27,,1
28,,72
29,,41
30,,78
31,,27
32,,66
33,,2
34,,19
35,,3
36,,55
37,,29
38,,51
39,,53
40,,61
41,,31
42,,66
43,,36
44,,32
45,,96
46,,17
47,,11
48,,79
49,,46
0,15
0,21
1,37
2,3
2,19
2,39
3,17
3,26
4,7
4,49
5,9
5,13
5,22
5,23
5,28
6,14
6,24
6,25
6,26
7,8
7,18
7,24
7,28
7,45
8,29
8,48
10,15
11,27
12,19
12,23
13,32
13,35
15,18
15,43
15,44
16,36
17,25
17,48
18,36
18,38
18,40
20,38
20,47
22,35
22,41
22,46
23,45
23,49
24,27
26,44
30,40
31,37
31,41
31,44
31,45
33,42
33,44
34,47
35,42
36,48
41,43
43,45
