0,,70
1,,47
2,,17
3,,8
4,,94
5,,78
6,,9
7,,87
8,,38
9,,2
10,,80
11,,54
12,,69
13,,58
14,,99
15,,14
16,,25
17,,69
18,,51
19,,52
20,,52
21,,13
22,,2
23,,16
24,,18
25,,41
26,,57
27,,63
28,,82
29,,68
30,,81
31,,89
32,,21
33,,56
34,,49
35,,49
36,,69
37,,72
38,,56
39,,82
40,,57
41,,73
42,,96
43,,14
44,,11
45,,52
46,,55
47,,84
48,,85
49,,28
0,32
0,42
1,28
1,36
2,10
2,16
2,17
3,22
3,38
4,8
4,17
4,25
5,9
5,44
5,49
6,11
6,20
7,9
7,40
7,42
8,49
9,32
9,35
10,18
10,24
11,25
12,23
12,48
13,43
13,49
14,41
15,25
16,26
16,27
16,40
16,43
17,28
19,21
21,25
21,44
21,45
22,28
24,27
25,45
29,45
30,39
30,48
31,36
31,39
31,42
31,43
33,41
33,49
34,41
34,42
34,46
36,47
37,47
37,49
39,43
39,47
42,44
