0,,96
1,,70
2,,30
3,,36
4,,7
5,,86
6,,56
7,,31
8,,18
9,,82
10,,27
11,,35
12,,5
13,,95
14,,24
15,,84
16,,44
17,,6
18,,16
19,,61
20,,4
21,,29
22,,54
23,,71
24,,43
25,,12
26,,60
27,,72
28,,19
29,,52
30,,90
31,,40
32,,14
33,,6
34,,93
35,,14
36,,95
37,,58
38,,41
39,,8
40,,65
41,,11
42,,31
43,,86
44,,83
45,,39
46,,14
47,,97
48,,32
49,,83
0,3
0,14
0,38
1,14
1,49
2,15
4,25
4,38
4,49
5,22
5,31
5,41
6,8
6,11
6,17
6,27
7,8
8,14
8,44
9,21
9,24
9,42
10,46
12,13
13,27
13,40
15,40
16,18
16,30
16,36
16,38
16,47
17,20
19,32
19,40
20,21
21,40
21,48
22,36
22,49
23,37
24,42
24,46
25,32
25,39
26,44
27,43
27,46
28,34
29,38
29,48
30,34
31,48
32,47
33,34
34,37
34,41
35,39
35,45
36,39
36,43
37,45
