0,,117
1,,16
2,,146
3,,167
4,,157
5,,49
6,,59
7,,51
8,,51
9,,133
10,,149
11,,93
12,,163
13,,35
14,,66
15,,109
16,,116
17,,183
18,,95
19,,150
20,,138
21,,97
22,,62
23,,150
24,,104
25,,91
26,,57
27,,137
28,,163
29,,93
30,,129
31,,175
32,,174
33,,71
34,,174
35,,142
36,,168
37,,119
38,,73
39,,21
40,,152
41,,198
42,,48
43,,199
44,,26
45,,159
46,,85
47,,121
48,,41
49,,129
50,,151
51,,178
52,,142
53,,153
54,,90
55,,88
56,,32
57,,162
58,,87
59,,3
60,,17
61,,92
62,,124
63,,130
64,,115
65,,31
66,,64
67,,59
68,,8
69,,113
70,,60
71,,197
72,,42
73,,183
74,,125
75,,56
76,,200
77,,153
78,,130
79,,85
80,,144
81,,166
82,,199
83,,135
84,,20
85,,2
86,,85
87,,28
88,,74
89,,158
90,,80
91,,158
92,,43
93,,180
94,,164
95,,178
96,,26
97,,7
98,,153
99,,73
0,50
1,17
1,59
1,70
2,14
2,38
2,66
3,58
3,84
4,81
5,56
5,70
6,11
6,31
7,40
8,23
8,81
9,60
10,71
12,74
13,37
14,40
15,41
15,88
16,70
18,27
19,46
20,57
21,79
22,71
23,97
24,37
24,87
25,47
26,72
27,58
28,85
29,30
29,49
29,85
30,41
30,63
30,78
31,62
31,80
32,46
32,71
32,89
33,62
33,74
34,68
34,89
35,77
35,87
35,92
36,54
36,57
37,52
37,75
38,55
39,74
39,86
40,52
41,68
41,90
42,85
43,97
44,79
44,88
45,46
47,94
48,64
48,77
49,60
49,94
50,53
50,67
50,72
51,60
53,83
54,73
56,93
59,76
59,85
61,90
61,95
65,78
66,90
68,98
69,76
69,91
72,89
73,95
75,86
82,95
84,85
84,92
84,99
85,97
96,97
