N0,,96;70
N1,,11;22
N2,,11;87
N3,,94;87
N4,,16;97
N5,,97;4
N6,,50;3
N7,,25;50
N8,,50;86
N9,,65;35
N10,,34;74
N11,,34;19
N12,,83;71
N13,,83;14
N14,,61;15
N15,,98;31
N16,,67;6
N17,,64;13
N18,,64;51
N19,,59;85
N20,,85;6
N21,,51;85
N22,,85;45
N23,,45;31
N24,,52;45
N25,,72;61
N26,,72;52
N27,,89;14
N28,,72;89
N29,,89;28
N30,,1;28
N31,,49;76
N32,,65;76
N33,,19;76
N34,,76;28
N35,,2;47
N36,,29;47
N37,,76;47
N38,,86;30
N39,,30;47
N40,,7;63
N41,,80;38
N42,,81;38
N43,,37;21
N44,,81;21
N45,,9;21
N46,,9;75
N47,,82;75
N48,,42;20
N49,,18;60
N50,,18;79
N51,,66;79
N52,,66;10
N53,,66;23
N54,,91;23
N55,,56;23
N56,,56;57
N57,,40;78
N58,,78;39
N59,,73;39
N60,,73;69
N61,,69;46
N62,,17;46
N63,,17;90
N64,,5;62
N65,,68;77
N66,,68;5
N67,,0;26
N68,,0;68
N69,,24;0
N70,,24;54
N71,,48;54
N72,,32;48
N73,,17;53
N74,,32;53
N75,,43;53
N76,,57;84
N77,,84;20
N78,,84;53
N79,,36;93
N80,,84;93
N81,,82;27
N82,,27;93
N83,,58;27
N84,,33;58
N85,,88;58
N86,,58;55
N87,,44;55
N88,,55;95
N89,,12;63
N90,,12;95
N91,,92;30
N92,,92;12
N93,,92;4
N94,,8;92
N95,,8;41
N96,,99;94
N97,,96;99
N98,,41;99
N2,N1,
N3,N2,
N5,N4,
N8,N6,
N8,N7,
N11,N10,
N13,N12,
N18,N17,
N20,N16,
N21,N18,
N22,N19,
N22,N20,
N22,N21,
N23,N15,
N24,N22,
N24,N23,
N25,N14,
N26,N24,
N27,N13,
N28,N25,
N28,N26,
N29,N27,
N29,N28,
N32,N9,
N33,N11,
N34,N29,
N34,N30,
N37,N31,
N37,N32,
N37,N33,
N37,N34,
N38,N8,
N39,N35,
N39,N36,
N39,N37,
N42,N41,
N44,N42,
N45,N43,
N45,N44,
N46,N45,
N47,N46,
N50,N49,
N51,N50,
N53,N51,
N53,N52,
N55,N53,
N55,N54,
N56,N55,
N58,N57,
N59,N58,
N60,N59,
N61,N60,
N62,N61,
N66,N64,
N68,N65,
N68,N66,
N69,N67,
N69,N68,
N70,N69,
N71,N70,
N72,N71,
N73,N62,
N73,N63,
N74,N72,
N76,N56,
N77,N48,
N78,N73,
N78,N74,
N78,N75,
N80,N76,
N80,N77,
N80,N78,
N81,N47,
N82,N79,
N82,N80,
N83,N81,
N83,N82,
N86,N83,
N86,N84,
N86,N85,
N88,N86,
N88,N87,
N89,N40,
N90,N88,
N91,N38,
N91,N39,
N92,N89,
N92,N90,
N93,N5,
N94,N91,
N94,N92,
N94,N93,
N95,N94,
N96,N3,
N97,N0,
N98,N95,
N98,N96,
N98,N97,
