0,,158
1,,80
2,,2
3,,123
4,,175
5,,105
6,,195
7,,31
8,,193
9,,178
10,,87
11,,179
12,,169
13,,125
14,,143
15,,22
16,,32
17,,195
18,,158
19,,45
20,,89
21,,193
22,,100
23,,158
24,,95
25,,178
26,,105
27,,189
28,,16
29,,97
30,,167
31,,65
32,,65
33,,73
34,,69
35,,37
36,,126
37,,183
38,,84
39,,200
40,,76
41,,101
42,,163
43,,163
44,,167
45,,59
46,,155
47,,89
48,,1
49,,184
50,,82
51,,39
52,,133
53,,105
54,,5
55,,136
56,,47
57,,83
58,,127
59,,101
60,,39
61,,125
62,,76
63,,15
64,,129
65,,100
66,,2
67,,28
68,,172
69,,92
70,,93
71,,158
72,,149
73,,178
74,,11
75,,144
76,,119
77,,109
78,,42
79,,77
80,,34
81,,3
82,,45
83,,188
84,,106
85,,145
86,,166
87,,48
88,,29
89,,184
90,,73
91,,115
92,,53
93,,134
94,,16
95,,39
96,,19
97,,162
98,,104
99,,57
0,32
0,65
0,71
1,7
1,41
1,67
1,84
2,31
2,79
3,70
3,75
4,20
4,76
4,85
5,45
6,62
8,25
9,12
9,45
10,47
10,65
10,82
11,61
12,52
12,64
12,87
13,29
14,50
15,27
15,64
16,81
17,23
17,98
18,42
18,51
19,46
19,87
20,44
20,53
20,77
21,62
21,81
22,69
22,75
24,87
25,34
25,49
26,87
27,32
27,67
28,75
28,80
28,81
29,66
29,97
30,43
30,61
30,76
31,95
32,51
32,63
33,60
33,96
34,36
34,56
34,60
34,86
35,53
35,78
37,46
38,60
39,44
40,72
41,94
42,99
44,96
45,54
46,91
48,62
49,57
50,96
55,75
56,89
58,79
59,73
61,65
61,72
61,74
63,75
64,98
66,86
67,88
68,69
71,93
73,78
81,85
81,90
82,95
83,90
92,95
