N0,,39;47
N1,,18;47
N2,,1;18
N3,,48;49;7
N4,,34;28
N5,,34;7
N6,,1;4;20;7;41
N7,,33;19;36
N8,,33;20
N9,,8;40
N10,,35;22
N11,,8;22;14
N12,,24;42;45
N13,,27;43
N14,,24;43;29
N15,,24;42;29
N16,,49;42;29
N17,,0;26
N18,,0;12;6
N19,,0;11;12;29
N20,,25;5;31
N21,,32;37;25;10;30
N22,,32;37;5;22;25
N23,,3;44
N24,,44;13;23
N25,,9;21;46;15
N26,,9;21;13
N27,,9;44;13
N28,,9;38
N29,,29;37;38
N30,,32;37;29;22
N31,,49;29;22
N32,,49;20;22
N33,,16;1;49;4;20;7
N34,,49;17
N35,,49;2;4;1
N1,N0,
N2,N1,
N5,N4,
N8,N7,
N11,N9,
N14,N13,
N15,N12,
N15,N14,
N16,N15,
N19,N17,
N19,N18,
N22,N20,
N22,N21,
N26,N25,
N27,N23,
N27,N24,
N27,N26,
N28,N27,
N29,N28,
N30,N22,
N30,N29,
N31,N30,
N31,N16,
N31,N19,
N32,N10,
N32,N11,
N32,N31,
N33,N5,
N33,N6,
N33,N8,
N33,N32,
N33,N3,
N35,N33,
N35,N2,
N35,N34,
